第2页,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1. 请填写您对麻辣烫以及各家麻辣烫餐厅的喜爱程度,,,,,,,,,,,,,,
问题,5 非常喜欢,4 喜欢,3 一般,2 不太喜欢,1 不喜欢,没吃过,,,,,,,,
夏朵餐厅,0,0,0,0,0,1,3,3,3,,,,,
Mr. Glasses,0,0,0,0,0,2,6,3,3,,,,,
悦·6法式融合餐厅,0,0,0,0,0,1,3,3,3,,,,,
DA VITTORIO SHANGHAI,0,0,0,0,0,2,6,3,3,,,,,
Zeitgeist塞德斯德国餐厅,1,1,0,0,0,0,9,4.5,3,,,,,
niko and ... WHOLE 775 Restaurant & Bar,0,0,0,0,0,2,6,3,3,,,,,
Shanghai Tavern 西餐厅,0,0,0,0,0,0,0,,3,,,,,
Le Bistrot de RacineLa Vite意大利家庭料理,0,0,1,0,0,0,3,3,3,,,,,
Bourbon Cookhouse玻本厨房,0,0,0,0,0,3,9,3,3,,,,,
LAVIDA,1,0,0,0,0,3,14,3.5,3,,,,,
斯比特花园西餐厅,0,0,1,0,0,1,6,3,3,,,,,
Leckeres Restaurant&Bier德国餐厅啤酒吧,0,0,0,0,0,1,3,3,3,,,,,
El Bodegon阿根廷秘鲁餐厅,0,1,0,0,0,3,13,3.25,3,,,,,
Lychee Lychee House,0,0,0,0,0,6,18,3,3,,,,,
The Wellington Universe 环球威灵顿,1,1,0,0,0,2,15,3.75,3,,,,,
Jean Georges,0,0,0,0,0,1,3,3,3,,,,,
环球港凯悦 · 天际餐吧,0,0,0,0,0,1,3,3,3,,,,,
Wine Universe By Little Somms宇宙酒馆,0,0,0,0,0,0,0,,2.981818182,,,,,
Brownstone Tapas & Bar布朗石西班牙餐厅酒吧,0,1,0,0,0,2,10,3.333333333,,,,,,
Magnet磁石,0,1,0,0,0,1,7,3.5,,,,,,
壳里西餐厅Coquille Seafood Bistro,0,0,0,0,0,1,3,3,,,,,,
鸢尾天空法餐厅iris le ciel,0,0,0,0,0,1,3,3,,,,,,
对于西餐品类总体，您的评价是,5,28,19,2,0,1,201,3.654545455,ATTR,,,,,
有效填写量,55,,,,,,,3.202095761,AVG,,,,,
,,,,,,,,3.490241412,TOP(>3),,,,,
第4页,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3. 请填写您对咖啡品类以及各咖啡店的喜爱程度,,,,,,,,,,,,,,
问题,5 非常喜欢,4 喜欢,3 一般,2 不太喜欢,1 不喜欢,没吃过,,,,,,,,
瑞幸,6,24,19,0,0,6,201,3.654545455,5,,,,,
甜魔,3,11,26,1,1,13,179,3.254545455,4,,,,,
e+咖啡厅（电院）,2,8,15,0,1,29,175,3.181818182,3.666666667,,,,,
麦咖啡（麦当劳）,3,9,23,8,4,8,164,2.981818182,3.654545455,,,,,
湃客咖啡（全家）,1,7,17,4,2,21,157,3.019230769,3.547169811,,,,,
星巴克,9,18,15,3,2,6,188,3.547169811,3.5,,,,,
Costa,4,17,15,0,1,15,179,3.442307692,3.5,,,,,
Tim Hortons （枫叶）,6,13,8,0,1,20,167,3.479166667,3.479166667,,,,,
% Arabica,5,4,5,2,1,32,157,3.204081633,3.442307692,,,,,
Manner Coffee,0,1,0,0,0,1,7,3.5,3.333333333,,,,,
O.P.S. CAFE,0,2,0,0,0,0,8,4,3.333333333,,,,,
C Cafe,1,0,0,0,0,2,11,3.666666667,3.254545455,,,,,
咖啡伦敦,0,0,0,0,0,2,6,3,3.204081633,,,,,
半舍,0,0,0,0,0,4,12,3,3.181818182,,,,,
理想岛咖啡,0,0,0,0,0,2,6,3,3.019230769,,,,,
蔓陀花园咖啡,1,0,2,0,0,1,14,3.5,3,,,,,
RUMORS COFFEE ROASTERY鲁马滋咖啡,0,0,0,0,0,0,0,,3,,,,,
云隐coffee,0,0,2,0,0,1,9,3,3,,,,,
亚卡夏屋顶花园咖啡屋,0,0,0,0,0,4,12,3,3,,,,,
我慢咖啡生活馆 Gaman Cafe,0,0,0,0,0,3,9,3,3,,,,,
FlowerPlus 花加 玻璃森林,0,0,0,0,0,2,6,3,3,,,,,
LAVAZZA拉瓦萨咖啡,0,0,0,0,0,1,3,3,3,,,,,
铁手咖啡制造局,0,0,0,0,0,3,9,3,3,,,,,
一尺花园,0,0,0,0,0,0,0,,3,,,,,
1900LOFT共享空间,0,0,0,0,0,2,6,3,3,,,,,
咖啡陪你CaffeBene,0,0,0,0,0,0,0,,3,,,,,
ink·墨咖啡,0,0,0,0,0,1,3,3,3,,,,,
THE FRIENDS CAFE老友记主题店,0,0,0,0,0,2,6,3,3,,,,,
TheoryCoffee希尔瑞咖啡,0,0,0,0,1,2,7,2.333333333,3,,,,,
咖啡喝伐Hefa Coffee,0,0,0,0,0,4,12,3,3,,,,,
Jen&#39;s COFFEE,0,1,0,0,0,2,10,3.333333333,3,,,,,
东海咖啡馆,0,0,0,0,0,1,3,3,3,,,,,
老麦咖啡馆·TheCottageBar,0,0,0,0,0,4,12,3,3,,,,,
25 COFFEE LAB,0,0,0,0,0,1,3,3,3,,,,,
堂吉咖啡,0,0,0,0,0,1,3,3,3,,,,,
ABBY ABBIE,0,1,0,0,0,2,10,3.333333333,3,,,,,
LiLi Time·巷子,0,0,0,0,0,1,3,3,3,,,,,
StayReal Café,0,0,1,0,0,0,3,3,3,,,,,
Home Cafe咖啡工作室,0,0,0,0,0,0,0,,3,,,,,
SANDY&#39;S HOUSE,0,0,0,0,0,2,6,3,3,,,,,
VESH COFFEE,0,0,0,0,0,1,3,3,3,,,,,
奎克咖啡Cuiqu,0,0,0,0,0,1,3,3,2.981818182,,,,,
Seesaw Coffee,0,0,1,0,0,1,6,3,2.333333333,,,,,
石藤咖啡,0,0,0,0,0,2,6,3,,,,,,
1617Cafe·Bistro,0,0,0,0,0,0,0,,,,,,,
MUSEO COFFEE咖啡博物馆,0,0,0,0,0,0,0,,,,,,,
518CAFE,0,0,1,0,0,3,12,3,,,,,,
W CAFE,0,0,0,0,0,0,0,,,,,,,
someet cafe,0,0,0,0,0,1,3,3,,,,,,
COFFEE AROMA,1,0,0,0,0,0,5,5,,,,,,
对于咖啡品类总体，您的评价是,6,23,20,2,1,3,196,3.563636364,ATTR,,,,,
有效填写量,55,,,,,,,3.172822105,AVG,,,,,
,,,,,,,,3.541079933,TOP(>3),,,,,
